,Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,RSI_16
0,0,4/22/2025 3:00,3471.1,3475.1,3466.8,3475.1,36,-0.04609076,-0.04609076,-0.044913815,-0.046364133,-0.042050588,range,86.0,1.0,-1.0,-1.0,
1,1,4/22/2025 4:00,3472.57,3494.08,3472.28,3487.27,151,-0.003489836,-0.049419747,-0.04886057,-0.055992223,-0.04538794,downward,,,,,
2,2,4/22/2025 5:00,3487.55,3487.94,3479.2,3484.67,156,0.000746125,-0.002746315,-0.048710495,-0.054005114,-0.046297067,downward,89.0,-1.0,-1.0,-1.0,
3,3,4/22/2025 6:00,3484.95,3495.01,3474.14,3493.26,152,-0.002459021,-0.001714731,-0.051049736,-0.050651827,-0.048888431,downward,87.0,-1.0,-1.0,-1.0,
4,4,4/22/2025 7:00,3492.59,3499.45,3477.36,3479.42,149,0.003977674,0.001508872,-0.001241586,-0.046099637,-0.045021871,downward,91.0,,,,
5,5,4/22/2025 8:00,3478.81,3479.83,3462.55,3467.81,155,0.003347934,0.007338926,0.005611611,-0.043523146,-0.040466462,downward,83.0,1.0,1.0,1.0,
6,6,4/22/2025 9:00,3469.41,3472.24,3443.09,3444.04,152,0.006901778,0.010272819,0.011797192,-0.03748795,-0.033974634,downward,92.0,1.0,1.0,1.0,
7,7,4/22/2025 10:00,3443.93,3457.76,3443.93,3454.22,147,-0.00294712,0.003934318,0.011302117,-0.040324588,-0.036636346,downward,90.0,1.0,-1.0,1.0,
8,8,4/22/2025 11:00,3455.0,3467.8,3451.75,3453.33,152,0.000257722,-0.002690157,0.007555027,0.00630406,-0.040352356,downward,87.0,1.0,-1.0,1.0,
9,9,4/22/2025 12:00,3451.2,3460.1,3448.01,3457.01,151,-0.001064504,-0.000807056,0.003124087,0.008753229,-0.047729107,downward,87.0,1.0,-1.0,1.0,
10,10,4/22/2025 13:00,3458.76,3464.28,3424.35,3430.37,152,0.007765926,0.006693156,0.003984993,0.015829196,-0.039030775,downward,83.0,1.0,-1.0,-1.0,
11,11,4/22/2025 14:00,3426.34,3448.55,3411.76,3418.57,147,0.003451736,0.011244468,0.010428337,0.021848317,-0.029910167,downward,90.0,1.0,-1.0,-1.0,
12,12,4/22/2025 15:00,3422.92,3438.58,3421.69,3429.84,152,-0.003285868,0.000154526,0.006848716,0.014455485,-0.032310545,downward,97.0,1.0,-1.0,-1.0,
13,13,4/22/2025 16:00,3429.03,3431.9,3410.58,3417.46,152,0.003622573,0.000324803,0.011572923,0.014733164,-0.029431215,downward,97.0,1.0,-1.0,-1.0,
14,14,4/22/2025 17:00,3419.13,3419.13,3372.05,3392.04,145,0.007494015,0.011143737,0.011299985,0.015330008,-0.022732633,range,93.0,-1.0,-1.0,-1.0,
15,15,4/22/2025 18:00,3394.17,3409.68,3387.18,3402.62,151,-0.003109369,0.004361345,0.004687564,0.015164785,-0.025771317,downward,,,,,
16,16,4/22/2025 19:00,3402.26,3402.26,3374.06,3381.95,154,0.006111859,0.002983486,0.01416047,0.021106167,0.027543281,downward,95.0,1.0,-1.0,-1.0,27.400650201155642
17,17,4/22/2025 20:00,3381.04,3385.47,3367.54,3374.82,153,0.002112705,0.008237476,0.012634748,0.024353891,0.033320296,downward,,,,,22.03431982076478
18,18,4/22/2025 21:00,3375.59,3382.44,3374.13,3381.16,156,-0.001875096,0.000233648,0.003217831,0.014554177,0.030613754,downward,,,,,24.727769910446924
19,19,4/22/2025 22:00,3381.16,3381.24,3381.16,3381.24,2,-2.37e-05,-0.001898712,0.006323124,0.011040328,0.033129858,downward,,,,,21.464234766484765
20,20,4/22/2025 23:00,3322.68,3381.16,3317.94,3325.97,151,0.016617709,0.016593655,0.01683118,0.031229987,0.046136916,upward,,,,,17.723276260870875
21,21,4/23/2025 0:00,3326.66,3348.94,3326.66,3335.75,157,-0.002931874,0.013637113,0.011712508,0.024495241,0.039589298,upward,,,,,22.006952687658057
22,22,4/23/2025 1:00,3336.78,3368.57,3334.74,3367.46,156,-0.009416593,-0.012320859,0.004068348,0.00729927,0.022741176,downward,,,,,34.295791977463395
23,23,4/23/2025 2:00,3372.24,3385.47,3360.56,3378.43,154,-0.00324707,-0.012633087,0.000831747,0.007160131,0.022433497,downward,,,,,34.50799231407049
24,24,4/23/2025 3:00,3377.76,3379.29,3350.4,3354.53,154,0.007124694,0.003854489,-0.00851386,0.008174021,0.02945271,downward,,,,,31.540990957138987
25,25,4/23/2025 4:00,3354.29,3354.89,3329.37,3338.71,155,0.004738357,0.01189681,-0.00088657,0.010815555,0.035432847,downward,,,,,28.85687732325495
26,26,4/23/2025 5:00,3339.66,3346.44,3335.66,3345.83,153,-0.002128022,0.002600252,0.006464764,0.010559413,0.025267273,downward,,,,,33.75730095275888
27,27,4/23/2025 6:00,3344.84,3348.92,3316.06,3318.82,155,0.008138435,0.005993094,0.017961203,0.01880789,0.030055863,downward,89.0,,,,31.893265565253046
28,28,4/23/2025 7:00,3318.47,3325.42,3292.56,3301.53,151,0.005236966,0.013418021,0.016053163,0.007402628,0.0388638,upward,87.0,1.0,-1.0,1.0,27.20716239725884
29,29,4/23/2025 8:00,3302.26,3319.68,3301.19,3319.2,149,-0.005323572,-0.000114485,0.005877922,0.004986141,0.029603519,range,,,,,32.86720602576152
30,30,4/23/2025 9:00,3318.83,3321.18,3305.86,3321.18,150,-0.000596174,-0.005916572,0.007422061,0.013934806,0.02133579,range,87.0,1.0,-1.0,1.0,36.54488834855499
31,31,4/23/2025 10:00,3320.96,3339.58,3317.32,3317.33,152,0.001160572,0.000563706,0.000449156,0.018418427,0.025710436,downward,,,,,33.38010054930653
32,32,4/23/2025 11:00,3319.08,3335.26,3316.74,3329.78,154,-0.003738986,-0.002582753,-0.008484044,0.007432923,0.015667702,downward,,,,,39.49752385528368
33,33,4/23/2025 12:00,3327.16,3338.58,3322.51,3325.75,148,0.001211757,-0.00253176,-0.001969481,0.003896865,0.014754567,downward,,,,,39.99673828815586
34,34,4/23/2025 13:00,3324.49,3332.3,3311.99,3312.25,155,0.004075779,0.005292475,0.002696053,0.010138124,0.020804589,downward,,,,,36.35067147304932
35,35,4/23/2025 14:00,3309.52,3312.62,3272.18,3276.44,144,0.010929545,0.015049871,0.012480009,0.012934771,0.031985936,range,,,,,31.815657967619032
36,36,4/23/2025 15:00,3275.36,3295.53,3256.16,3287.81,149,-0.003458229,0.00743352,0.012765336,0.004172991,0.01160651,range,,,,,42.18865143671703
37,37,4/23/2025 16:00,3286.31,3291.35,3270.45,3281.19,156,0.002017561,-0.001447646,0.013580439,0.011584212,0.016628114,upward,,,,,38.685192865773935
